user_id,total_dist,total_calls,avg_dist
24,3.01494385634,61,0.0502490642724
25,315.615674368,69,4.641406976
26,0,66,0.0
27,6.5033263336,87,0.0756200736466
20,219.749113676,43,5.23212175419
21,189.835398879,53,3.65068074768
22,937.823270168,53,18.0350628878
23,0,122,0.0
28,37.9975734505,116,0.330413682178
29,51.3668531925,92,0.564470914203
4,51.8572320721,48,1.10334536324
8,8.7077488723,61,0.145129147872
59,266.072807626,255,1.04753073869
58,81.342713961,207,0.3948675435
55,160.196177676,37,4.44989382435
54,16.0193495747,36,0.457695702133
57,183.114852571,278,0.661064449714
56,62.7039415872,49,1.3063321164
51,39.7906171205,36,1.13687477487
50,123.631320902,333,0.372383496693
53,12.3478433251,132,0.0942583459928
52,915.235476757,95,9.73654762508
88,123.089517791,72,1.73365518016
89,18.4211214865,80,0.233178752994
82,34.069839515,291,0.117482205224
83,10.2373169966,36,0.292494771331
80,28.1931182812,129,0.220258736572
81,32.7242182911,76,0.436322910547
86,21.2835079733,21,1.06417539867
87,18.4746758517,78,0.239930855217
84,467.581930445,276,1.70029792889
85,202.909038397,71,2.89870054852
3,38.7966484867,91,0.431073872074
7,22.6380914074,53,0.43534791168
39,16.58621658,79,0.212643802308
38,20.2275927698,54,0.38165269377
33,173.58419119,86,2.04216695517
32,7.37291265938,98,0.0760094088595
31,30.7908214047,105,0.29606559043
30,182.983138126,115,1.60511524672
37,155.620148789,69,2.28853159984
36,0,48,0.0
35,246.534797433,143,1.7361605453
34,70.4595259014,227,0.311767813723
60,160.844482087,127,1.27654350863
61,37.3764697123,40,0.958371018263
62,96.7145834728,42,2.35889227982
63,6.18720691536,87,0.0719442664577
64,74.8483993009,100,0.756044437383
65,107.195552622,107,1.01127879832
66,52.740522566,58,0.925272325719
67,4.4034948025,51,0.08806989605
68,0,52,0.0
69,38.8235066798,37,1.07843074111
2,565.921835122,462,1.22759617163
6,407.124604597,127,3.23114765553
90,183.988964139,166,1.11508463114
11,151.005741348,60,2.55941934489
10,284.914894867,164,1.74794414029
13,109.63453847,91,1.21816153855
12,39.091766218,111,0.355379692891
15,766.123016765,181,4.25623898203
14,11.63178893,30,0.401096169999
17,132.400019718,29,4.72857213279
16,737.3758855,148,5.0161624864
19,307.948219477,50,6.28465754036
18,426.976607704,99,4.35690416024
48,50.6609928441,151,0.337739952294
49,93.5633359883,155,0.607554129794
46,103.647305801,99,1.0576255694
47,12.8645653051,63,0.207492988792
44,51.9845072555,123,0.426102518488
45,253.75257772,247,1.03151454358
42,277.834552885,165,1.69411312735
43,76.0196752722,92,0.835381046947
40,8.65872298115,75,0.117009770016
41,316.446675408,168,1.89489027191
1,27.7038430711,104,0.268969350205
5,32.5877032985,183,0.179053314827
9,173.324942576,63,2.79556358994
77,20.0378815233,57,0.357819312917
76,0,21,0.0
75,75.7105090375,297,0.255778746748
74,7.66591974172,23,0.348450897351
73,180.196011468,333,0.542759070688
72,7.086257728,121,0.0590521477333
71,249.130129511,108,2.32831896739
70,153.792472966,48,3.27218027588
79,137.592392331,80,1.74167585229
78,153.567322967,50,3.13402699933
